team_id,team
248,Houston
158,Nebraska
222,Villanova
2,Auburn
150,Duke
57,Florida
127,Michigan State
2633,Tennessee
333,Alabama
2641,Texas Tech
96,Kentucky
66,Iowa State
120,Maryland
12,Arizona
2567,SMU
249,North Texas
2539,San Francisco
300,UC Irvine
24,Stanford
2541,Santa Clara
2916,Incarnate Word
349,Army
2464,Northern Arizona
2506,Presbyterian
2599,St. John's
275,Wisconsin
2509,Purdue
245,Texas A&M
236,Chattanooga
2244,George Mason
235,Memphis
2483,Oregon
145,Ole Miss
356,Illinois
2608,Saint Mary's
269,Marquette
344,Mississippi State
41,UConn
228,Clemson
130,Michigan
252,BYU
142,Missouri
2305,Kansas
26,UCLA
97,Louisville
2250,Gonzaga
251,Texas
44,American University
2603,Saint Joseph's
2168,Dayton
71,Bradley
23,San José State
21,San Diego State
2011,Alabama State
179,St. Bonaventure
59,Georgia Tech
2393,Middle Tennessee
2032,Arkansas State
197,Oklahoma State
43,Yale
2670,VCU
2803,Bryant
2450,Norfolk State
172,Cornell
36,Colorado State
314,Iona
2006,Akron
2335,Liberty
2296,Jackson State
3084,Utah Valley
2350,Loyola Chicago
55,Jacksonville State
2655,Tulane
2514,Quinnipiac
193,Miami (OH)
2569,South Carolina State
2771,Merrimack
5,UAB
28,UC San Diego
156,Creighton
167,New Mexico
2253,Grand Canyon
2752,Xavier
2724,Wichita State
2649,Toledo
2640,Texas Southern
139,Saint Louis
154,Wake Forest
2226,Florida Atlantic
45,George Washington
47,Howard
2309,Kent State
338,Kennesaw State
218,Temple
2169,Delaware State
2065,Bethune-Cookman
2368,Marist
2000,Abilene Christian
2463,Cal State Northridge
151,East Carolina
2856,California Baptist
328,Utah State
27,UC Riverside
2166,Davidson
242,Rice
8,Arkansas
2582,Southern
227,Rhode Island
153,North Carolina
277,West Virginia
135,Minnesota
238,Vanderbilt
2507,Providence
2440,Nevada
113,Massachusetts
2377,McNeese
194,Ohio State
46,Georgetown
2439,UNLV
239,Baylor
164,Rutgers
2540,UC Santa Barbara
61,Georgia
2458,Northern Colorado
302,UC Davis
2755,Grambling
87,Notre Dame
2628,TCU
253,Southern Utah
259,Virginia Tech
2520,Rider
2638,UTEP
350,UNC Wilmington
261,Vermont
2115,Central Connecticut
2523,Robert Morris
2306,Kansas State
52,Florida State
50,Florida A&M
2529,Sacred Heart
98,Western Kentucky
2320,Lamar
254,Utah
149,Montana
119,Towson
2466,Northwestern State
2653,Troy
231,Furman
304,Idaho State
2447,Nicholls
2502,Portland State
325,Cleveland State
2083,Bucknell
2272,High Point
288,Lipscomb
2181,Drake
2729,William & Mary
264,Washington
2429,Charlotte
357,Texas A&M-Corpus Christi
6,South Alabama
2747,Wofford
232,Charleston
2545,SE Louisiana
256,James Madison
2437,Omaha
9,Arizona State
99,LSU
2182,Drexel
112358,Long Island University
2390,Miami
163,Princeton
225,Brown
108,Harvard
305,DePaul
2612,Saint Peter's
2363,Manhattan
2430,UNC Greensboro
2427,UNC Asheville
2325,La Salle
2097,Campbell
2348,Louisiana Tech
2400,Mississippi Valley State
2534,Sam Houston
84,Indiana
38,Colorado
116,Mount St. Mary's
2504,Prairie View A&M
111,Northeastern
311,Maine
2193,East Tennessee State
221,Pittsburgh
257,Richmond
2029,Arkansas-Pine Bluff
399,UAlbany
299,Long Beach State
2217,Fairfield
2692,Weber State
183,Syracuse
2627,Tarleton State
2535,Samford
2405,Monmouth
204,Oregon State
2546,Southeast Missouri State
2239,Cal State Fullerton
3101,Utah Tech
2900,St. Thomas-Minnesota
265,Washington State
48,Delaware
2515,Radford
2057,Belmont
2275,Hofstra
2382,Mercer
276,Marshall
2449,North Dakota State
189,Bowling Green
2117,Central Michigan
2678,VMI
2737,Winthrop
2501,Portland
2026,App State
2571,South Dakota State
2460,Northern Iowa
68,Boise State
2565,SIU Edwardsville
2351,Loyola Marymount
2294,Iowa
79,Southern Illinois
2287,Illinois State
279,Pacific
2247,Georgia State
104,Boston University
2142,Colgate
2031,Little Rock
93,Murray State
2754,Youngstown State
2453,North Alabama
2561,Siena
270,Milwaukee
2154,Coppin State
326,Texas State
2634,Tennessee State
82,UIC
2934,Cal State Bakersfield
13,Cal Poly
103,Boston College
201,Oklahoma
290,Georgia Southern
2635,Tennessee Tech
2598,St. Francis (PA)
161,Fairleigh Dickinson
2116,UCF
2132,Cincinnati
152,NC State
2230,Fordham
2086,Butler
2241,Gardner-Webb
140,Kansas City
295,Old Dominion
2815,Lindenwood
30,USC
2636,UTSA
2572,Southern Miss
2579,South Carolina
2352,Loyola Maryland
322,Lafayette
94,Northern Kentucky
2473,Oakland
2184,Duquesne
2066,Binghamton
2550,Seton Hall
2084,Buffalo
2711,Western Michigan
195,Ohio
2050,Ball State
2459,Northern Illinois
2750,Wright State
202,Tulsa
309,Louisiana
258,Virginia
2005,Air Force
278,Fresno State
526,Florida Gulf Coast
294,Jacksonville
2016,Alcorn State
2617,Stephen F. Austin
2428,North Carolina Central
2415,Morgan State
292,UT Rio Grande Valley
2837,East Texas A&M
77,Northwestern
147,Montana State
58,South Florida
282,Indiana State
2099,Canisius
315,Niagara
2046,Austin Peay
56,Stetson
213,Penn State
2349,UMass Lowell
2378,UMBC
2643,The Citadel
2908,South Carolina Upstate
107,Holy Cross
2885,NJIT
2229,Florida International
85,IU Indianapolis
250,UT Arlington
2172,Denver
2379,Maryland Eastern Shore
2426,Navy
159,Dartmouth
16,Sacramento State
284,Stonehill
2630,UT Martin
2197,Eastern Illinois
70,Idaho
331,Eastern Washington
233,South Dakota
171,Columbia
2681,Wagner
2619,Stony Brook
166,New Mexico State
2739,Green Bay
2751,Wyoming
25,California
301,San Diego
2492,Pepperdine
2547,Seattle U
62,Hawai'i
2199,Eastern Michigan
324,Coastal Carolina
2433,UL Monroe
2344,Longwood
2385,Mercyhurst
160,New Hampshire
2870,Purdue Fort Wayne
198,Oral Roberts
2329,Lehigh
2454,North Florida
2698,West Georgia
2717,Western Carolina
339,Evansville
2623,Missouri State
2674,Valparaiso
2710,Western Illinois
2261,Hampton
2443,New Orleans
2110,Central Arkansas
2010,Alabama A&M
2277,Houston Christian
2127,Charleston Southern
2130,Chicago State
2448,North Carolina A&T
155,North Dakota
2413,Morehead State
2330,Le Moyne
219,Pennsylvania
2210,Elon
88,Southern Indiana
2174,Detroit Mercy
91,Bellarmine
2511,Queens University
2198,Eastern Kentucky
486,Aquinas
53,Florida Tech
435,Puerto Rico-Rio Piedras
2889,Puerto Rico-Bayamon
109670,Life Pacific
